English,Japanese
MUFTI,"(通常は軍服など制服を着ている人たちの)平服,服 / (イスラム法を適用する際の)法典説明者"
MUGGY,"(天候が)蒸し暑い,うっとうしい"
MULCH,根覆い(植物の根を保護するためのわら・枯れ葉・土の混合物) / …に根覆いをかける
MULCT,罰金(penalty) / …に罰金を科する / 〈人〉をだまして(…を)奪う《+『名』〈人〉+『of』+『名』》
MUMMY,ミイラ;干からびた死体 / =mommy
MUMPS,"流行性耳下腺(せん)炎,お多福かぜ"
MUNCH,…をむしゃむしゃ食べる(かむ) / (…を)むしゃむしゃ食べる(かむ)《+『at』(『on』)+『名』》
MURAL,"壁の;壁に掛かった(描いた) / 壁画,天井画"
MUREX,ホネガイ(熱帯地方の海産巻き貝の総称;古代人はこれから紫色染料を採った)
MURKY,"暗い;陰気な;曇った,霧(もや)がかかった"
MUSHY,"かゆのような;どろどろした / 《話》めめしい,感傷的な"
MUSIC,"『音楽』 / 音楽作品,楽曲 / 楽譜(musical score) / 美しい調べ,快い音"
MUSKY,じゃ香のような;じゃ香の香りのする
MUSTY,"かび臭い,かびの生えた / (思想などが)陳腐な,古くさい(out-of-date)"
MUZZY,"鮮明でない / (病気やアルコールのために)頭がすっきりいない,ぼんやりした"
MYRRH,没薬(もつやく)(熱帯産の低木の樹脂;香料・薬剤用)
NAACP,National Association for the Advancement of Colored People全米有色人種地位向上協会
NORAD,North American Air Defense Command北米大陸防空総軍司令部
NEGRO,"黒人,ニグロ / 黒人の,ニグロの;黒人に関する"
NEHRU,ネール(『Jawaharlal~』;1889‐1964;インド共和国の初代首相1947‐64)
NEPAL,ネパール(インドとチベットの間にある国。2008年に王制を廃止;首都はKatmandu)
NIGER,ニジェール(アフリカ北西部の共和国;首都はNiamey)
NISEI,二世(米国在住日本人の2代目)
NIXON,ニクソン(『Richard Milhous~』;1913‐;米国第37代大統領1969‐74)
NORSE,古代スカンジナビアの;古代スカンジナビア人(語)の / =Norwegian / 《the~》《集合的に;複数扱い》(特に古代の)ノルウェー人;古代スカンジナビア人 / =Norwegian
NABOB,"(18‐19世紀のイギリスで,アジアでもうけた)大金持ち;《軽べつして》大尽;お偉がた"
NACRE,=mother-of-pearl
NADIR,〈U〉《the~》天底(天体の1点から鉛直に下ろした地上の点) / 〈C〉《単数形で》最下点;どん底
NAIAD,"(ギリシア神話・ローマ神話で,少女の姿をして川や泉に住む)水の精"
NAKED,"(体の全部,または一部が)『裸の』 / 『はぎ取られた』,むき出しにされた / (目が)肉眼の,裸眼の / 《名詞の前にのみ用いて》(事が)赤裸裸の,あからさまの"
NANNY,"《英》(特に上流家庭の)乳母(うば),ばあや"
NAPPY,=diaper
NARES,"鼻孔(びこう),単数形は「nare」"
NARKY,ふきげんな
NASAL,《名詞の前にのみ用いて》鼻の / 鼻声の / (音声が)鼻音の / (音声で)鼻音;鼻音字([m][n][g])
NASTY,"『意地悪な』,卑劣な / 『不快な』,いやな(unpleasant) / みだらな,下品な / 厄介な,ひどい"
NATAL,《おもに文》誕生の
NATES,"《複数形》しり,臀部(でんぶ)"
NATTY,"(服装・風さいなど)こぎれいな,きちんとした"
NAVAL,『海軍の』;軍艦の
NAVEL,へそ / 中心(center)
NAVVY,"土木労働者,土方,土工"
NEEDS,"《直ちに, 当面》 必要なもの[こと], 要求, 要望されるもの"
NEEDY,非常に暮らしに困っている / 《名詞的に;the~》《集合的に;複数扱い》貧困者たち
NEGUS,ニーガス酒(ワイン・湯・砂糖・香料などを混ぜて作った飲料)
NEIGH,"馬のいななき / 〈馬が〉いななく,ヒヒーンと鳴く"
NERVE,"〈C〉『神経』 / 〈C〉《複数形で》『神経過敏』,いらだち / 〈U〉『勇気』,度胸(courage) / 〈U〉《時にa ~》厚かましさ,ずぶとさ;無礼 / 〈C〉葉脈;(昆虫の)翅脈(しみゃく) / 〈人,特に自分〉に力を与える,を元気づける"
NERVY,"《米話》ずうずうしい,厚かましい(bold) / 《英話》神経質な;神経衰弱の"
NEVER,"《文の否定》(1)『かつて』…『ない』,一度も…しない(at no time) / 『全く』…『ない』,『決して』…『ない』(not … at all) / 《次に来る語句の否定》『少しも』…『ない』 / 《驚き》まさか,とんでもない"
NEVUS,母斑(ぼはん)(先天性のあざ・ほくろ・そばかすなど)
NEWEL,(らせん階段の軸になる)親柱;(階段の手すりの)親柱
NEWLY,"『最近』,近ごろ / 『新たに』,再び"
NEWSY,ニュース(話題)の多い / おしゃべりな
NEXUS,連鎖;関係 / (文法で)主語述語関係
NICHE,"壁がん(像・花びんなどを置く壁のくぼみ) / (…に)ふさわしい場所(地位,仕事),適所《+『for』+『名』》"
NIECE,『めい』(自分や配偶者の兄弟姉妹の娘)
NIFTY,"しゃれた,いきな;うまくできた"
NIGHT,"〈C〉〈U〉『夜』,晩,夜間 / 〈U〉(夜の)暗やみ,夜陰 / 〈U〉《文》(精神的に)まっ暗な状態(時),やみ / 〈C〉(特定の行事・目的に当てられる)晩,夜 / 『夜の』,夜間[用]の;夜勤の;夜行[性]の"
NIMBI,nimbusの複数形
NINNY,ばか
NINON,ニノン織り(軽いドレス用絹布)・薄絹
NINTH,"《the~》『第9の』,9番目の / 9分の1の / 〈U〉《the~》『第9』・9番目[のもの];(月の)9日 / 〈C〉9分の1"
NIPPY,すばしこい / 身を切るような / ぴりっとくる
NITRE,=niter
NIXIE,宛先不明郵便物
NOBLE,"高貴の;貴族の / 高潔な,気高い / (姿・規模などが)壮大な,堂々とした;すばらしい / (金属が)腐食しない / 《複数形で》(特に中世の)貴族"
NOBLY,"身分高く,貴族にふさわしく / 気高く,壮大な,雄々しく"
NODAL,節(こぶ)の[ような]
NODDY,"クロアジサシ(熱帯に棲む鳥の一種) / ばか者,あほう"
NOHOW,どうしても…ない
NOISE,"〈C〉〈U〉(特に,大きなまたは不快な)『音』,物音 / 〈C〉〈U〉(街・往来などの)『ざわめき』,騒音,騒々しい声 / 〈C〉(一般に)物音 / 〈U〉(ラジオ・テレビなどの)ノイズ,雑音 / …を広める,言い触らす《+『名』+『about』(『abroad, around』)》 / 音を立てる;大声で話す《+『about』(『around, abroad』)》"
NOISY,"(人・声などが)『やかましい』,騒々しい,(場所が)騒音に満ちている"
NOMAD,《しばしば複数形で》遊牧民 / 放浪者
NONCE,"目下, 当分; 臨時の"
NOOSE,"(一方の端を引っ張ると締まるようになる)輪なわ,引き結び / 《the noose》絞首刑 / 〈動物など〉を輪なわ(わな)で捕らえる"
NORTH,"《the~》『北』;北方 / 《the~,the N-》北部[地方],北方[地域] / 《the N-》米国の北部諸州(特にOhio川以北のMaryland州・Missouri州を含む諸州;南北戦争で南部同盟諸州と戦った) / 『北の』,北部の,北向きの;北からの / 『北に』,北方へ"
NOSEY,=nosy
NOTCH,"(V字形の)刻み目 / 《米》山あい / 《話》段階(STEP),等級(degree) / …に刻み目をつける / 《話》〈競技の得点など〉を記録する,〈勝利〉を収める"
NOTED,"『有名な』,著名な"
NOVEL,"『新奇な』,ざん新な / (長編の)『小説』"
NUDGE,"(注意などを引くために,特にひじで)…を軽くつつく / (特にひじで)軽くつつく / (特にひじで)軽くつつくこと"
NURSE,"『看護人』,看護婦 / 子守(dry nurse) / 『乳母』(うば)(wet nurse) / を『看護する』,看病する / 〈幼児〉に授乳する / 〈病気・けが〉を治そうと努める / 《話》…を注意して扱う,たいせつに扱う / …を大事に育てる / (心に)〈ある感情〉をいだく / 看護人(看護婦)として働く / 授乳する / 〈幼児が〉乳を飲む"
NUTTY,"木の実(堅果)の多い,木の実のなる / (味が)木の実のような / 《話》気違いの,気違いじみた"
NYLON,〈U〉『ナイロン』 / 《複数形で》ナイロンの靴下
NYMPH,『ニンフ』(ギリシア・ローマ神話で泉・川・森・海などに住む美しい妖精) / 美少女 / 若虫(じゃくちゅう)(トンボ・セミなどの不完全変態をする昆虫の幼虫)
OMAHA,オマハ(米国Nebraska州最大の都市)
ORION,"オリオン(ギリシア神話で,アルテミスの巨大な猟師で,死んで星座になる) / オリオン星座"
OSCAR,"オスカー賞(アメリカで,映画のアカデミー賞で与えられる小型の立像)"
OUIJA,(心霊術の)霊媒占い板・「こっくりさん」
OAKEN,オーク材製の
OAKUM,まいはだ(古い麻なわをほぐしたもの;船板のすき間に詰める)
OASIS,"オアシス,砂漠の緑地 / (一般に)憩いの場所"
OBEAH,(アフリカ・西インド諸島で行われる)魔術
OBESE,でっぷり太った
OCCUR,"〈異状な事が〉『起こる』 / 〈考えが〉『浮かぶ』 / 在存する,見いだされる"
OCEAN,"〈C〉『大洋』,大海 / 《the ~》五大洋の一つ / 《話》《an ~,または複数形で》ばく大(な…),広大(な…)《+『of』+『名』》"
OCTET,8重唱(奏)曲;8重唱(奏)団 / 8個一組のもの
ODDLY,奇妙に;不思議に
ODIUM,"憎悪,反感 / 汚名,悪評"
ODOUR,=odor
OFFAL,"(特に殺した動物の)くず肉,臓物,あら / (一般に)くず,がらくた(garbage)"
OFFER,"…を『申し出る』,すすめる,提供する / …を『企てる』 / (品物に)〈値段〉をつける《+『名』〈値段〉+『for』+『名』〈品物〉》 / (ある金額で)…を売りに出す《+『名』+『for』+『名』〈金額〉》 / (神に)…をささげる《+『up』+『名』+『to』+『名』》 / 〈機会などが〉現れる,起こる(occur) / (神に)ささげ物(祈り)をささげる / (女性に)求婚する / 『申し出』,提案 / 付け値"
OFTEN,"『しばしば』,たびたび,よく / 何度,何回"
OILED,油を差した(しみ込ませた) / 《俗》酒に酔った(drunk)
OKAPI,オカピ(アフリカ産;キリンに似る)
OLDEN,昔の
OLIVE,"〈C〉『オリーブ』[の木](南欧産の常緑樹) / 〈C〉オリーブの実(ピクルスにしたり,オリーブ油を採る) / (また『olive green』)〈U〉オリーブ色,黄録色 / オリーブの;オリーブ色の"
OMEGA,"〈C〉オメガ(ギリシア語アルファベット24文字の最後の字Ω,ω;英語のO,oの長音に相当) / 〈U〉(一連のものの)最後,終り(end)"
ONION,『タマネギ』
ONSET,"攻撃,襲撃 / (病気・季節などの)始まり,開始《+『of』+『名』》"
OOMPH,"活力,精力 / 性的魅力"
OPERA,"『オペラ』,歌劇"
OPINE,"《『opine』+『that節』》…と考える,思う"
OPIUM,アヘン(阿片)ケシの種子から製造;催眠剤・鎮痛剤として使われる
OPTIC,目の;視覚の
ORATE,"演説する,演説口調で話す"
ORBIT,"(天体・人工衛星の)『軌道』;軌道の1周 / (活動・影響・知識の)範囲 / (軌道に沿って)…の周りを回る / 〈人工衛星〉を軌道に乗せる / 軌道に沿って回る,軌道に乗る"
ORDER,"〈C〉《しばしば複数形で》『命令』,指図,指令 / 〈U〉(物事の)『順序』,順番 / 〈U〉(自然界の)『秩序』 / 〈U〉(社会の)治安,秩序 / 〈U〉整頓(せいとん)された状態,きちんとしていること《good,badなどを伴って》(一般に物事の)調子, 状態 / 〈U〉(商品などの)『注文』《+『for』+『名』》 / 〈C〉注文品 / 〈C〉(レストランなどでの料理の)一盛り / 〈C〉種類,等級,品質(kind, sort) / 〈C〉(動植物分類の)目(もく) / 〈C〉聖職者の階級;《複数形で》聖職 / 〈C〉《しばしばO-》教団,教派;(ある特殊な)社会 / 〈C〉《しばしばO-》勲位,勲章 / 〈C〉(古代ギリシアの)建築様式,様式 / …を『命令する』,指図する;〈人〉に命令する / 《方向を表す副詞[句]を伴って》〈人〉に行くように命じる / 〈商品など〉を『注文する』;…をあつらえる / …を整頓(せいとん)する,きちんとする / 命令する;注文する"
ORGAN,"『オルガン』,パイプオルガン(pipe organ),リードオルガン(reed organ),電子オルガン(electronic organ),手回しオルガン(barrel organ) / (動植物の)『器官』 / (政党・会社などの)機関誌,機関紙 / 《しばしば複数形で》(行動・実施などの)組織,機関"
ORIEL,"(壁から外に突き出た)張り出し窓,出窓"
ORRIS,ニオイアヤメ(根茎に芳香のあるアヤメ)
OSIER,コリヤナギ[の枝](枝はかご細工に用いる)
OTHER,"《no,one,some,anyなどを伴って》『別の』,ほかの,違った / 《other thanの形で補語に用いて》…とは違った,…とは別の / 《the ~》(二者のうちの)『もう一方の』,他方の;『反対の』,向こう側の;(三者以上のうち)それ以外の,残りの / 『ほかのもの』,ほかの人[たち] / 《the ~》(二つの中で)『もう一方のもの』(『人』り,(三つ以上の中で)『これ以外のもの』(『人』),残りのもの(人) / 《『other』 『than』の形で》(…と)別の方法では,(…)ではなく)"
OTTER,〈C〉カワウソ / カワウソの毛皮
OUGHT,"《義務・当然》…『すべきである』,するのが当然である / 《忠告・願望》…するのが望ましい,するのがよい / 《見込み・当然の結果》…『するはずである』,きっと…するであろう"
OUNCE,"〈C〉『オンス』(重量の単位;《略》『oz.』;常衡で1オンスは1/16ポンド(28.35gr.),金衡で1/12ポンド(31.1gr.)) / 〈C〉液量オンス(1オンスは《米》では1/16パイント(pint),《英》では1/20パイントに等しい) / 《通例否定文で》《an ~》少量(の…)《+『of』+『名』》 / =snow leopard"
OUSEL,=ouzel
OUTDO,"〈他の人〉にまさる,よりうまくする"
OUTER,"外に,外側の,外部の / 中心から遠い"
OUTGO,"支出,出費;流出 / …より早く行く / …にまさる"
OUZEL,クビワツグミ(全体が黒く胸に白い輪のある鳥)
OVARY,卵巣 / (花の)子房
OVATE,(特に葉が)卵形の
OVERT,"明白な,公然の"
OVOID,卵形の(egg-shaped) / 〈C〉卵形の物
OVULE,胚珠(はいしゅ)
OWING,"(…に)『未払いの』,支払うべき(due)《+『to』+『名』》"
OWLET,フクロウの子 / 小型のフクロウ
OWNER,"『持ち主』,所有者"
OXBOW,牛のくびきのU字型の部分 / 《米》川の湾曲部
OXIDE,酸化物
OZONE,オゾン / 《話》(海岸などの)新鮮な空気
PADDY,アイルランド人
PARIS,『パリ』(フランスの首都) / パリス(ギリシア神話のTroyの王子;Spartaの王妃Helenを奪ってTroy戦争を起こした)
PETER,ペテロ(『Saint』(『St.』)~;?‐67?;聖ペテロ(キリストの12使徒のひとり)) / (新約聖書の)ペテロの手紙
PLATO,古代ギリシアの哲学者プラトン(紀元前427–347年頃)
PLUTO,プルート(ギリシア・ローマ神話の冥界(めいかい)の王) / 冥王(めいおう)星
PUNCH,パンチ(英国の人形劇Punch-and-Judy showのかぎ鼻で猫背の道化者) / (英国の)風刺週刊誌パンチ
PUNIC,古代カルタゴ[人]の
PURIM,プリム祭(Hamanによるユダヤ虐殺を免れたことを記念するユダヤ祭日;3月1日)
PYREX,パイレックス(耐熱・耐薬品性のガラス器の商標名)
PACER,歩測者 / 側対歩で進む馬
PADDY,"〈U〉米;もみ / (またpaddy field)〈C〉稲田,水田 / 激怒,ふきげん,大むくれ"
PADRE,(イタリア・スペイン・ポルトガル・南米などの)神父(father) / 《話》従軍牧師
PAEAN,"喜び(感謝)の歌,賛歌"
PAGAN,"異教徒(キリスト教・ユダヤ教・イスラム教で自分の宗教以外の宗教,特に多神教を信じる人) / 無宗教の人 / 異教の,多神教の / 不信心の"
PAINT,"〈U〉『ペンキ』,『塗料』 / 〈U〉〈C〉(油性・水性の)絵の具(チューブ入りおよび水に溶かす前の固型状のもの) / 〈U〉《しばしば軽べつして》(化粧品の)口紅,ほお紅 / …を『絵の具でかく』 / …にペンキ(塗料)を塗る / …を言葉で描き出す / (薬・化粧品などを)〈傷口・顔など〉に塗る《+『名』+『with』+『名』》 / 〈人が〉ペンキ(塗料)を塗る,絵の具で絵をかく / 〈物が〉よく塗れる,絵の具がよくつく / 《しばしば軽べつして》化粧する"
PALLY,"(…と)親しい,仲の良い《+『with』+『名』》"
PALMY,"ヤシ(シュロ)の多い,繁栄する,勝利を得た,意気揚々とした,椰子の茂った,手のひらへのむち打ち"
PALSY,"麻痺(まひ),中風 / …を麻痺させる(paralyze)"
PANDA,"パンダ(中国南部,チベットに住むアライグマ)"
PANEL,"『はめ板』,鏡板,仕切り板,『パネル』(壁・天井・ドアなどを装飾する板) / (板・プラスチックなどの薄い)1枚板,合板 / (絵画の)画板,パネル画;(写真の)パネル版 / (飛行機・自動車などの)パネル,計器板 / (スカート・ドレスなどに縫いつける)別布,パネル / 《集合的に》(討論会などの)討論者団,審査団,参加者の一団 / (…で)…にパネルをはめる,はめ板を張る《+『名』+『with』(『in』)+『名』》"
PANIC,"〈C〉〈U〉『あわてふためき,恐慌』,ろうばい / 〈C〉経済恐慌,パニック / 《単数形で》《米俗》とてもおかしなもの,珍無類なもの / あわてふためく,恐慌に陥る / …をあわてさせる / 《米俗》〈観客〉を沸きたたせる"
PANSY,サンシキスミレ / 《話》女のような男;同性愛の男
PANTO,=pantomime
PANTS,"《米》『ズボン』(trousers),ジーパン,スラックス / 《おもに》パンツ(underpants);(婦人・小供用の)パンティー"
PAPAL,ローマ教皇の;ローマカトリック教[会]の
PAPER,"〈U〉『紙』 / 〈C〉(1枚の)『紙』 / 〈C〉論文,研究論文(口頭で発表するものをさす);(学生の)レポート / 〈C〉試験問題[用紙];答案[用紙] / 〈C〉《話》『新聞』(newspaper) / 《複数形で》『書類』,文書;(身分・資格などを示す)証明書 / 〈U〉紙幣(paper money);手形類 / 〈C〉〈U〉壁紙(wallpaper) / 紙[製]の / 紙の上だけの,実際には存在しない / 新聞[用]の / …に紙をはる / …を紙で包む《+『over』(『up』)+『名,』+『名』+『over』(『up』)》"
PAPPY,=father
PARAS,=paratroops
PARCH,"〈熱・太陽などが〉〈のど・土地など〉をからからに乾かす / 〈豆など〉をいる,あぶる / からからに渇く"
PARER,皮をむく道具(人)
PARKA,パーカ / エスキモー人のずきんつき毛皮服 / 登山・スキーなどで用いる防寒着(《英》anorak)
PARKY,"(空気などが)ひんやりとした,冷たい"
PARRY,"〈剣の攻撃など〉をかわす,そらす / 〈悪口・議論など〉を受け流す,そらす / 〈U〉受け流すこと;〈C〉言いのがれ,逃げ口上"
PARSE,〈文〉を文法的に説明する;〈文〉を構成要素に分析する
PARTY,"『社交的な集まり』,パーティー / 『一行』,一隊,一団 / 『党』,政党 / (ある行動・計画などの)関係者,仲間,(時に)参加団体《+『to』(『in』)+『名』》 / (契約・訴訟などの)当事者,記名人;訴訟当事者(原告または被告のこと) / 《話》人(person)"
PARVE,(ユダヤ教で)精進料理の(原料に獣肉や乳を用いない)
PASHA,パシャ(もとトルコの高官の尊称で名前の後に付けた)
PASSE,時代遅れの(out-of-date);(特に女性が)盛りを過ぎた
PASTA,パスタ(マカロニやスパゲティの類)
PASTE,"(接着用の)『のり』 / (一般に)のり状のもの / (菓子を作るための)練り粉,ペースト / (人造宝石用材料の)鉛ガラス;模造宝石 / (…に)…を『のりではる』《+『down』+『名』+『in(on)』+『名』》 / (…を)…にのりではり付ける《+『名』+『with』+『名』》 / 《俗》〈顔・体など〉を強打する,なぐりつける"
PASTY,のりのような / (顔色などが)青白くて不健康な(pale) / 肉入りパイ
PATCH,"(補修・補強のための)『つぎ当て』;当て布;当て板,当て金;(アップリケで縫いつけた)布切れ / (傷口などを覆う)『傷当て』 / (色などが周囲と区別できる)(…の)まだら,班点;断片,破片《+『of』+『名』》 / 小さな地面(畑) / (補修・補強のために)…に『つぎ当てる』;(装飾のために)…に当て布をする / …をつぎ合わせて作る"
PATEN,パテナ(聖体祭儀のときパンをのせる金属製の皿)
PATER,"おやじ,父"
PATIO,(スペイン風住宅の)中庭 / (戸外の食事や談笑のための)テラス
PATSY,"他人の罪を負う人 / お人よし,かも"
PATTY,《英》小さな肉パイ / 《米》パティ(薄い小さな円盤形に料理したもの)
PAUSE,"『小休止』,中断,休息;(会話,読み書きの間に入れる)一息,一区切り / (音楽の)延音記号,フェルマータ / (一時的に)『ちょっと休止する』,立ち止まる;(…するのを)ちょっとやめる / (…の所で)停滞する,ちゅうちょする《+『of』(『upon』)+『名』》"
PAVED,(タイル・アスファルトなどで)舗装された / 《補語にのみ用いて》(…で)満ちあふれる《+『with』+『名』》
PAWKY,"《おもに英》ずるい,悪賢い"
PAYEE,"(手形・小切手などの)受取人,被支払い人"
PAYER,支払い人
PEACE,"『平和』 / 《しばしばP-》『講和』[『条約』] / 《通例the ~》(社会の)『治安』,秩序 / (場所の)静けさ,穏やかさ / (心の)静けさ,穏やかさ"
PEACH,"〈C〉『モモ』(『桃』) / 〈C〉桃の木 / 〈U〉黄色がかった桃色 / 〈C〉《a ~》《話》すてきなもの;かわいい娘 / 黄色がかった桃色の / (共犯者・仲間などを)密告する,裏切る《+『against』(『on, upon』)+『名』》 / …を裏切る"
PEAKY,"峰のようにとがった / 衰えた,やつれた / 《話》気分が悪い"
PEARL,"〈C〉『真珠』,パール / 〈C〉(形・光沢などが)真珠のようなもの / 〈C〉(真珠のように)価値のあるもの(人),傑出したもの(人) / =mother-of-pearl / (また『pearl gray』)〈U〉真珠色 / 真珠の[ような] / 真珠色の / 真珠を採取する"
PEASE,"《古》peaの複数形,しみ出す,漏れ出る"
PEATY,"泥炭を含む,泥炭に似た"
PECAN,ペカン(米国原産のクルミの一種);ペカンの実(食用になる)
PEDAL,"(自転車・自動車などの)『ペダル』,踏み板 / (ピアノなどの)ペダル,踏み板 / …のペダルを踏む;(ペダルを踏んで)…を走らせる / ペダルを踏む;(ペダルを踏んで)動かす / (人・動物の)足の / ペダルの"
PEEVE,"〈人〉をじらす,腹だたせる,悩ます(annoy) / じらす(悩ます)もの"
PEKOE,《しばしばP-》ペコー(スリランカ・インド・ジャワ産の高級紅茶)
PENAL,"(特に,法的な)刑罰の / 刑事上の"
PENCE,pennyの複数形
PENIS,"陰茎,ペニス"
PENNY,"(米国・カナダの)『1セント銅貨』,セント / 『ペニー』(《英》の貨幣単位およびその銅貨で,1971年以降の新ペニーは1/100ポンド,旧ペニーは1/12シリング=1/240ポンド) / (一般に)金銭,金額"
PERCH,"(鳥の)『止まり木』,(枝など)止まり木になるもの / 高い場所;(一般に)高い地位 / 《英》パーチ(長さの単位,約5メートル;面積の単位,25.3平方メートル) / (高い所に)…を置く,のせる《+『名』+『on』+『名』》 / 〈鳥が〉止まり木に止まる / (高い所に)止まる,休む,腰をすえる《+『on』(『upon』)+『名』》 / スズキの類(食用になる近海魚)"
PERIL,"〈U〉(差し迫った大きな)『危険』,危難,危機 / 〈C〉危険をもたらすもの / …を危険にさらす"
PERKY,"活発で元気のよい,意気揚々とした"
PESKY,"やっかいな,うるさい"
PETAL,"花弁,花びら"
PETER,しだいに衰えてなくなる(消える)《+『out』》
PETIT,"(法律用語で)小さい,ささいな"
PETTY,"『取るに足らない』,重要できない / 『下級の』 / 心の強い,狭量な"
PHAGE,=bacteriophage
PHASE,"(変化・発達の)『段階』,『局面』 / (物事の)『面』,様相《+『of』+『名』》 / (月・惑星などの)相 / …を段階的に調整(整理)する"
PHIAL,=vial
PHLOX,"フロックス,クサキョウチクトウ"
PHONE,"〈U〉〈C〉『電話』;〈C〉『電話機』,受話器 / …に『電話をかける』 / 『電話をかける』 / 音(おん),音声単音"
PHOTO,『写真』[photographの短縮形]
PIANO,『ピアノ』 / (楽音で)弱音の / 弱く(《略》『p.』)
PICKY,"ささいなことにやかましい,気むずかしい"
PICOT,ピコット(ししゅう・レース・リボンなどの縁に施す丸い輪飾りの一つ) / …にピコットで縁飾りする
PIECE,"(全体から分離した)『部分』,『断片』,破片 / (…の)…『個』,『片』,枚《+『of』+『名』》 / (セット・グループを構成するものの)一つ;(ゲームで使う)こま,チェスの歩(pawn)以外のこま / 《英》硬貨(coin) / (音楽・美術・文学などの)作品《+『of』+『名』》 / 銃,砲,ピストル / 《単位として》(布などの)1反,一巻き《+『of』+『名』》;《the~》仕事量 / 《俗》(性交の対象としての)女 / …を継ぎ合わせる / …を継ぎ合わせて作る / …を繕う"
PIETA,〈C〉聖母マリアがキリストの遺体を膝に置きながら嘆く像や絵
PIETY,"〈U〉敬けんなこと,信心 / 〈U〉(両親・母国・理想などに対する)忠誠,敬愛 / 〈C〉敬けんな行為(信仰)"
PIGGY,《幼児語》小豚 / (子供が)がつがつする
PIGMY,=pygmy
PIKER,"しみったれ,けち"
PILAU,=pilaf
PILES,痔疾(じしつ)
PILOT,"『水先案内人』,舵手(だしゅ) / (飛行機の)『パイロット』,操縦士 / 案内人,先導者(leader) / =pilot light / 試験的な,実験的な,予備的な / 《方向を表す副詞[句]を伴って》〈船〉の『水先案内をする』 / 〈飛行機〉を操縦する;〈船〉のかじを取る / 《方向を表す副詞[句]を伴って》(…に向けて)〈人〉を案内する,導く"
PINCH,"(…で)…を『つねる』,『つまむ』《+『名』+『in』+『名』》 / (靴などが)…を『締めつける』 / 《しばしば受動態で》〈悲しみ・苦痛などが〉〈人・心・体など〉を苦しめる,悩ます / (木などの形を整えたりするために)〈芽・若枝など〉を摘み取る《+『off』(『back』)+『名,名』+『off』(『back』)》 / 《俗》…を盗む,巻き上げる / 《話》《受動態で》…を逮捕する / 〈靴・帽子などが〉『締めつける』,きつく締まる / (…を)けちけちする《+『on』+『名』》 / (…を)『つねる』(『つまむ』)『こと』《+『on』+『名』》;(靴などが)きつくて痛いこと / (…の)一つまみ,少量《+『of』+『名』》 / 《the pinch》(飢え・金銭上の)苦しみ,難儀 / 危機,危急の時 / 《俗》盗み / 《俗》逮捕"
PINEY,=piny
PINKO,左翼がかった人
PINNY,=pinafore
PINTO,"まだらの,ぶちの / まだらの馬(小馬)"
PINUP,"ピンで壁にとめる美人写真,ピンナップ"
PIOUS,"『敬けんな』,信心深い / 宗教的な,宗教上の / 《軽べつして》敬けんを装った,信心ぶった"
PIPAL,=peepul
PIPER,"笛を吹く人,笛吹き;(特に)バグパイプを吹く人(bagpiper)"
PIPIT,タヒバリ(数種の小さな鳴き鳥の総称)
PIQUE,"《しばしば受動態で》(…で)〈人〉を憤慨させる,の気持ちを傷つける《+『名』+『at』(『by』)+『名』(a persons do『ing』)》 / 〈人,人の好奇心・野心など〉をそそる,刺激する / (…に対する),立腹,不きげん《+『at』(『against』)+『名』(a persons do『ing』)》 / ピケ(一種の綿布)"
PITCH,"ピッチ(石油・コールタールなどで蒸留後に残る黒いかす) / 松やに,樹脂 / …にピッチを塗る / 《方向を表す副詞[句]を伴って》…を『投げる』,ほうる,ほうり出す / (一時的に)〈キャンプなど〉を『設営する』,〈テント〉を張る(set up) / …を傾ける,傾斜させる(incline) / 〈楽器・声・曲など〉の音程(調子)をきめる / 《俗》…をペラペラしゃべる / 《方向を表す副詞[句]を伴って》(…に)『落ちる,倒れる』 / 下に向かって傾斜する / (野球で)〈投手が〉投球する / 〈船・飛行機が〉縦揺れをする / 〈U〉〈C〉(…の)『度合い,程度』(degree)《+『of』+『名』》 / 〈U〉〈C〉音(声)の高さ,調子 / 〈C〉投げること,投球;投げた距離 / 〈C〉《単数形で》《the ~》(船・飛行機の)縦揺れ / 〈U〉〈C〉(屋根などの)『こう配』,傾斜[度];傾斜面《+『of』+『名』》 / 〈C〉《おもに英》(露天商・新聞売り子などの)きまって店を出す場所 / 〈C〉ピッチ(クリケットで両ウィケット(wicket)の間の部分);ホッケーなどのスポーツを行うように指定された場所 / 〈C〉《俗》(売り込み・宣伝の)執拗(しつよう)な弁舌"
PITHY,髄の;髄のある / 簡潔で要領を得た
PITON,ピトン(岩登りに用いるロープを通す環のついた金属クギ)
PIVOT,"(機械の)旋回軸 / 中心人物;要点,かなめ / 旋回 / (…を軸にして)旋回する;回転する《+『on』(『upon』)+『名』》 / 《『pivot on』(『upon』)+『名』》…によって決まる,…に左右される / …を旋回軸の上に置く;…に旋回軸をつける"
PIZZA,"ピッツァ,ピザ(チーズ・トマトなどをパイ皮にのせて焼いた料理)"
